,Unnamed: 0,protein,ligand,type,value,unit,smiles
0,0,nlrp3 protein,15z,Kd,102.7,nM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3ccccc3o1)C2
1,1,lps+atp j774a.1 il-1β,7a,IC50,1.66,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(NC(=O)c1cc(Cl)ccc1OC)C2
2,2,lps+atp j774a.1 il-1β,7b,IC50,1.7,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(NC(=O)c1cc(Cl)ccc1OCCC)C2
3,3,lps+atp j774a.1 il-1β,7c,IC50,1.51,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(NC(=O)c1cc(Cl)ccc1OCCOC)C2
4,4,lps+atp j774a.1 il-1β,7d,IC50,2.09,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(NC(=O)c1cc(Cl)ccc1OCCN(C)C)C2
5,5,lps+atp j774a.1 il-1β,7e,IC50,22.2,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(NC(=O)c1cc(Cl)ccc1Cl)C2
6,6,lps+atp j774a.1 il-1β,7f,IC50,1.99,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(NC(=O)c1ncc(-c3cccc(Cl)c3)cc1O)C2
7,7,lps+atp j774a.1 il-1β,7g,IC50,2.11,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(NC(=O)c1ncc(-c3cccc(Cl)c3)cc1OCCC)C2
8,8,lps+atp j774a.1 il-1β,7h,IC50,1.82,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(NC(=O)c1ncc(-c3cccc(Cl)c3)cc1OCCOC)C2
9,9,lps+atp j774a.1 il-1β,7i,IC50,3.51,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(NS(=O)(=O)c1cccs1)C2
10,10,lps+atp j774a.1 il-1β,7j,IC50,10.31,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(NS(=O)(=O)c1ccc(Cl)s1)C2
11,11,lps+atp j774a.1 il-1β,7k,IC50,0.76,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(NS(=O)(=O)c1ccc(Br)s1)C2
12,12,lps+atp j774a.1 il-1β,8a,IC50,1.27,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(NC(=O)NCc1cc(Cl)ccc1OC)C2
13,13,lps+atp j774a.1 il-1β,8b,IC50,1.08,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(NC(=S)NCc1cc(Cl)ccc1OC)C2
14,14,lps+atp j774a.1 il-1β,JC124,IC50,3.21,uM,CNS(=O)(=O)c1ccc(CCNC(=O)c2cc(Cl)ccc2OC)cc1
15,15,lps+atp j774a.1 il-1β,YQ128,IC50,0.42,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)Cc2ccsc2)cc1
16,16,lps+atp j774a.1 il-1β,MCC950,IC50,0.013,uM,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1
17,17,lps+atp j774a.1 il-1β,12,IC50,1.11,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCC)C(=O)Cc1ccsc1)C2
18,18,lps+atp j774a.1 il-1β,15a,IC50,0.26,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)Cc1ccsc1)C2
19,19,lps+atp j774a.1 il-1β,15b,IC50,0.38,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cccs1)C2
20,20,lps+atp j774a.1 il-1β,15c,IC50,6.24,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)C1CCOC1)C2
21,21,lps+atp j774a.1 il-1β,15d,IC50,2.82,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)CC1CCOC1)C2
22,22,lps+atp j774a.1 il-1β,15e,IC50,0.72,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)C1CCCCC1)C2
23,23,lps+atp j774a.1 il-1β,15f,IC50,12.78,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)C1CCOCC1)C2
24,24,lps+atp j774a.1 il-1β,15g,IC50,1.65,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)CC1CCOCC1)C2
25,25,lps+atp j774a.1 il-1β,15h,IC50,1.95,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1ccccc1OC(C)=O)C2
26,26,lps+atp j774a.1 il-1β,15i,IC50,1.97,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1ccccc1O)C2
27,27,lps+atp j774a.1 il-1β,15j,IC50,18.2,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1csc(-c3cccnc3)n1)C2
28,28,lps+atp j774a.1 il-1β,15k,IC50,12.6,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1ccc(N3CCN(C(=O)OC(C)(C)C)CC3)cc1)C2
29,29,lps+atp j774a.1 il-1β,15l,IC50,10.19,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1ccc(N3CCNCC3)cc1)C2
30,30,lps+atp j774a.1 il-1β,15m,IC50,0.96,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1ccc3c(c1)OCO3)C2
31,31,lps+atp j774a.1 il-1β,15n,IC50,0.73,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)C(C)(C)C)C2
32,32,lps+atp j774a.1 il-1β,15o,IC50,1.84,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)C(F)(F)F)C2
33,33,lps+atp j774a.1 il-1β,15p,IC50,0.19,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)CBr)C2
34,34,lps+atp j774a.1 il-1β,15q,IC50,0.69,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)C1CC1)C2
35,35,lps+atp j774a.1 il-1β,15r,IC50,1.33,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)S(=O)(=O)C1CC1)C2
36,36,lps+atp j774a.1 il-1β,15s,IC50,3.86,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)/C=C/CN1CCCCC1)C2
37,37,lps+atp j774a.1 il-1β,15t,IC50,0.21,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)/C=C/c1ccccc1)C2
38,38,lps+atp j774a.1 il-1β,15u,IC50,2.09,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)/C=C/c1ccc(O)cc1)C2
39,39,lps+atp j774a.1 il-1β,15v,IC50,3.13,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)/C=C/c1ccc(O)c(O)c1)C2
40,40,lps+atp j774a.1 il-1β,15w,IC50,1.51,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)/C=C/c1ccc(O)c(OC)c1)C2
41,41,lps+atp j774a.1 il-1β,15x,IC50,0.7,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)/C=C\c1ccc(O)cc1)C2
42,42,lps+atp j774a.1 il-1β,15y,IC50,0.5,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)/C=C\c1ccc(O)c(OC)c1)C2
43,43,lps+atp j774a.1 il-1β,15z,IC50,0.13,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3ccccc3o1)C2
44,44,lps+atp j774a.1 il-1β,15aa,IC50,1.31,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3ccccc3[nH]1)C2
45,45,lps+atp j774a.1 il-1β,15ab,IC50,0.51,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3ccccc3s1)C2
46,46,lps+atp j774a.1 il-1β,15ac,IC50,1.07,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1nc3ccccc3s1)C2
47,47,lps+atp j774a.1 il-1β,15ad,IC50,0.38,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3cc(F)ccc3o1)C2
48,48,lps+atp j774a.1 il-1β,15ae,IC50,0.99,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3cc(Cl)ccc3o1)C2
49,49,lps+atp j774a.1 il-1β,15af,IC50,1.87,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3cc(Br)ccc3o1)C2
50,50,lps+atp j774a.1 il-1β,15ag,IC50,0.47,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3cc(OC)ccc3o1)C2
51,51,lps+atp j774a.1 il-1β,15ah,IC50,1.07,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3cc(O)ccc3o1)C2
52,52,lps+atp j774a.1 il-1β,15ai,IC50,12.8,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3cc(OC(=O)C(C)(C)C)ccc3o1)C2
53,53,lps+atp j774a.1 il-1β,15aj,IC50,0.79,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1ccc3ccccc3c1)C2
54,54,lps+atp j774a.1 il-1β,15ak,IC50,1.74,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1ccc3ccccc3n1)C2
55,55,lps+atp j774a.1 il-1β,15al,IC50,0.38,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1ccc3cnccc3n1)C2
56,56,lps+atp j774a.1 il-1β,15am,IC50,10.35,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)S(=O)(=O)c1ccc3c(c1)CN(C(=O)C(F)(F)F)CC3)C2
57,57,lps+atp j774a.1 il-1β,15an,IC50,1.01,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)S(=O)(=O)c1ccc3c(c1)CNCC3)C2
58,61,lps+atp j774a.1 il-1β,19a,IC50,3.5,uM,CCC(=O)NS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3ccccc3o1)C2
59,62,lps+atp j774a.1 il-1β,19b,IC50,>30,uM,CCCCN(CCCC)S(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3ccccc3o1)C2
60,63,lps+atp j774a.1 il-1β,19c,IC50,14.3,uM,COCCOc1ccc(Cl)cc1CN(C(=O)c1cc2ccccc2o1)C1Cc2ccc(S(=O)(=O)Nc3c4c(cc5c3CCC5)CCC4)cc2C1
61,64,lps+atp j774a.1 il-1β,19d,IC50,1.75,uM,C#CCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3ccccc3o1)C2
62,65,lps+atp j774a.1 il-1β,22,IC50,3.33,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCN(C)C)C(=O)c1cc3ccccc3o1)C2
63,66,lps+atp j774a.1 il-1β,26,IC50,0.17,uM,CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(F)ccc1OCCOC)C(=O)c1cc3ccccc3o1)C2
14,14,lps+atp thp-1 il-1β,15,IC50,6.8,nM,Cc1ccc(S(=O)(=NC#N)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1
24,25,lps+atp thp-1 il-1β,29,IC50,5.3,nM,Cc1ccc(S(=O)(=NC#N)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1F
25,26,lps+atp thp-1 il-1β,30,IC50,34,nM,N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccc(C#N)cc1
26,27,lps+atp thp-1 il-1β,31,IC50,11.7,nM,N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1cccc(C#N)c1
27,28,lps+atp thp-1 il-1β,32,IC50,110,nM,N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccncc1
28,29,lps+atp thp-1 il-1β,33,IC50,36.3,nM,N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1cccnc1
29,30,lps+atp thp-1 il-1β,34,IC50,23,nM,N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccccn1
0,0,lps+atp thp-1 il-1β,2a,IC50,2000,nM,Cc1ccc(-c2nnc(NCCCO)c3ccccc23)cc1
9,10,lps+atp thp-1 il-1β,3a,IC50,3500,nM,CC(CCO)Nc1nnc(-c2ccc(C(F)(F)F)cc2)c2ccccc12
10,11,lps+atp thp-1 il-1β,3b,IC50,230,nM,CC(CO)CNc1nnc(-c2ccc(C(F)(F)F)cc2)c2ccccc12
11,12,lps+atp thp-1 il-1β,3c,IC50,1200,nM,CC(O)CCNc1nnc(-c2ccc(C(F)(F)F)cc2)c2ccccc12
12,13,lps+atp thp-1 il-1β,3d,IC50,1700,nM,COCCCNc1nnc(-c2ccc(C(F)(F)F)cc2)c2ccccc12
13,14,lps+atp thp-1 il-1β,3e,IC50,1000,nM,CC(C)(CO)CNc1nnc(-c2ccc(C(F)(F)F)cc2)c2ccccc12
14,15,lps+atp thp-1 il-1β,3f,IC50,610,nM,OCCNc1nnc(-c2ccc(C(F)(F)F)cc2)c2ccccc12
15,16,lps+atp thp-1 il-1β,3g,IC50,230,nM,C[C@H](O)CNc1nnc(-c2ccc(C(F)(F)F)cc2)c2ccccc12
16,17,lps+atp thp-1 il-1β,3h,IC50,140,nM,C[C@@H](O)CNc1nnc(-c2ccc(C(F)(F)F)cc2)c2ccccc12
17,18,lps+atp thp-1 il-1β,3i,IC50,57,nM,C[C@@H](O)CNc1nnc(-c2ccc(C(F)(F)F)cc2C(F)(F)F)c2ccccc12
18,20,lps+atp thp-1 il-1β,4a,IC50,150,nM,C[C@@H](O)CNc1ccc(-c2ccc(C(F)(F)F)cc2C(F)(F)F)nn1
19,21,lps+atp thp-1 il-1β,4b,IC50,90,nM,Cc1cc(-c2ccc(C(F)(F)F)cc2C(F)(F)F)nnc1NC[C@@H](C)O
20,22,lps+atp thp-1 il-1β,4c,IC50,200,nM,Cc1cc(NC[C@@H](C)O)nnc1-c1ccc(C(F)(F)F)cc1C(F)(F)F
21,23,lps+atp thp-1 il-1β,4d,IC50,210,nM,Cc1c(NC[C@@H](C)O)nnc(-c2ccc(C(F)(F)F)cc2C(F)(F)F)c1C
22,24,lps+atp thp-1 il-1β,4e,IC50,14,nM,Cc1c(NC[C@@H](C)O)nnc(-c2ccc(C(F)(F)F)cc2O)c1C
23,25,lps+atp thp-1 il-1β,4f,IC50,17,nM,Cc1cc(NC[C@@H](C)O)nnc1-c1ccc(C(F)(F)F)cc1O
24,26,lps+atp thp-1 il-1β,4g,IC50,160,nM,Cc1cc(-c2ccc(C(F)(F)F)cc2O)nnc1NC[C@@H](C)O
25,27,lps+atp thp-1 il-1β,4h,IC50,590,nM,Cc1c(NC[C@@H](C)O)nnc(-c2ccc(C(F)(F)F)cc2C(F)F)c1C
26,29,lps+atp thp-1 il-1β,5a,IC50,27,nM,Cc1c(N[C@H]2CCC[C@H]2O)nnc(-c2ccc(C(F)(F)F)cc2O)c1C
27,30,lps+atp thp-1 il-1β,5b,IC50,28,nM,Cc1c(N[C@@H]2CCC[C@H]2O)nnc(-c2ccc(C(F)(F)F)cc2O)c1C
28,31,lps+atp thp-1 il-1β,5c,IC50,650,nM,Cc1c(N[C@H]2CCC[C@@H]2O)nnc(-c2ccc(C(F)(F)F)cc2O)c1C
29,32,lps+atp thp-1 il-1β,5d,IC50,17,nM,Cc1c(N[C@H]2CCCC[C@H]2O)nnc(-c2ccc(C(F)(F)F)cc2O)c1C
30,33,lps+atp thp-1 il-1β,5e,IC50,8.4,nM,Cc1c(N[C@@H]2CCCC[C@H]2O)nnc(-c2ccc(C(F)(F)F)cc2O)c1C
31,34,lps+atp thp-1 il-1β,5f,IC50,340,nM,Cc1c(N[C@H]2CCCC[C@@H]2O)nnc(-c2ccc(C(F)(F)F)cc2O)c1C
32,35,lps+atp thp-1 il-1β,5g,IC50,17,nM,Cc1c(N[C@@H]2CCCC[C@@H]2O)nnc(-c2ccc(C(F)(F)F)cc2O)c1C
0,0,nlrp3,MCC950,Kd,38,nM,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1
1,1,nlrp3,L38,Kd,110,nM,CC(C)c1nn(Cc2nnc(-c3ccc(C(F)(F)F)nc3Cl)o2)c(=O)c2cc3sc(Cl)cc3n12
2,2,lps+nigericin thp-1 il-1β,L38,IC50,0.32,uM,CC(C)c1nn(Cc2nnc(-c3ccc(C(F)(F)F)nc3Cl)o2)c(=O)c2cc3sc(Cl)cc3n12
3,3,lps+nigericin bmdms il-1β,L38,IC50,0.38,uM,CC(C)c1nn(Cc2nnc(-c3ccc(C(F)(F)F)nc3Cl)o2)c(=O)c2cc3sc(Cl)cc3n12
4,4,il-1β,N1,IC50,37.4,nM,CC(C)c1nn(CC(=O)NC2CCOCC2)c(=O)c2cc3sc(Cl)cc3n12
5,5,lps+nigericin thp-1 il-1β,L1,IC50,>10,uM,CC(C)c1nn(CC(=O)NC2CCOCC2)c(=O)c2cccn12
6,6,lps+nigericin thp-1 il-1β,L2,IC50,>10,uM,CC(C)c1nn(CC(=O)NC2CCOCC2)c(=O)c2ccc(-c3ccsc3)n12
7,7,lps+nigericin thp-1 il-1β,L3,IC50,>10,uM,CC(C)c1nn(CC(=O)NC2CCOCC2)c(=O)c2ccc(-c3ccc(Cl)s3)n12
8,8,lps+nigericin thp-1 il-1β,L4,IC50,>10,uM,CC(C)c1nn(CC(=O)NC2CCOCC2)c(=O)c2cc(NC3COC3)cn12
9,9,lps+nigericin thp-1 il-1β,L5,IC50,>10,uM,CC(C)c1nn(CC(=O)NC2CCOCC2)c(=O)c2cc(Nc3ccccc3)cn12
10,10,lps+nigericin thp-1 il-1β,L6,IC50,>10,uM,CC(C)c1nn(CC(=O)NC2CCOCC2)c(=O)c2cc3ccccc3n12
11,11,lps+nigericin thp-1 il-1β,L7,IC50,>10,uM,CC(C)c1nn(CC(=O)NC2CCOCC2)c(=O)c2cc3cc(Cl)ccc3n12
12,12,lps+nigericin thp-1 il-1β,L8,IC50,>10,uM,O=C(CN1CCn2c(cc3sccc32)C1=O)NC1CCOCC1
13,13,lps+nigericin thp-1 il-1β,L9,IC50,>10,uM,O=C(CNC(=O)c1cc2sccc2[nH]1)NC1CCOCC1
14,14,lps+nigericin thp-1 il-1β,N1,IC50,0.05,uM,CC(C)c1nn(CC(=O)NC2CCOCC2)c(=O)c2cc3sc(Cl)cc3n12
17,17,lps+nigericin thp-1 il-1β,L12,IC50,1.89,uM,CC(C)c1nn(Cc2nnc(-c3cccnc3)o2)c(=O)c2cc3sc(Cl)cc3n12
18,18,lps+nigericin thp-1 il-1β,L13,IC50,>10,uM,CC(C)c1nn(Cc2nnc(-c3cccnc3)[nH]2)c(=O)c2cc3sc(Cl)cc3n12
19,19,lps+nigericin thp-1 il-1β,L14,IC50,0.37,uM,CC(C)c1nn(Cc2nnc(C3CCC3)o2)c(=O)c2cc3sc(Cl)cc3n12
20,20,lps+nigericin thp-1 il-1β,L15,IC50,0.32,uM,CC(C)c1nn(Cc2nnc(C3CCCC3)o2)c(=O)c2cc3sc(Cl)cc3n12
21,21,lps+nigericin thp-1 il-1β,L16,IC50,0.37,uM,CC(C)c1nn(Cc2nnc(C3CCOC3)o2)c(=O)c2cc3sc(Cl)cc3n12
22,22,lps+nigericin thp-1 il-1β,L17,IC50,1.9,uM,CC(C)c1nn(Cc2nnc(C3CCCCC3)o2)c(=O)c2cc3sc(Cl)cc3n12
23,23,lps+nigericin thp-1 il-1β,L18,IC50,0.38,uM,CC(C)c1nn(Cc2nnc(-c3cccc(C#N)c3)o2)c(=O)c2cc3sc(Cl)cc3n12
24,24,lps+nigericin thp-1 il-1β,L19,IC50,0.43,uM,CC(C)c1nn(Cc2nnc(-c3cccc(F)c3)o2)c(=O)c2cc3sc(Cl)cc3n12
25,25,lps+nigericin thp-1 il-1β,L20,IC50,0.97,uM,CC(C)c1nn(Cc2nnc(-c3cccc(C(F)(F)F)c3)o2)c(=O)c2cc3sc(Cl)cc3n12
26,26,lps+nigericin thp-1 il-1β,L21,IC50,>10,uM,COc1cccc(-c2nnc(Cn3nc(C(C)C)n4c(cc5sc(Cl)cc54)c3=O)o2)c1
27,27,lps+nigericin thp-1 il-1β,L22,IC50,>10,uM,Cc1cccc(-c2nnc(Cn3nc(C(C)C)n4c(cc5sc(Cl)cc54)c3=O)o2)c1
28,29,lps+nigericin thp-1 il-1β,L23,IC50,0.5,uM,Cc1ccncc1-c1nnc(Cn2nc(C(C)C)n3c(cc4sc(Cl)cc43)c2=O)o1
29,30,lps+nigericin thp-1 il-1β,L24,IC50,0.77,uM,CC(C)c1nn(Cc2nnc(-c3ncccc3Cl)o2)c(=O)c2cc3sc(Cl)cc3n12
30,31,lps+nigericin thp-1 il-1β,L25,IC50,0.7,uM,CC(C)c1nn(Cc2nnc(-c3ccncc3Cl)o2)c(=O)c2cc3sc(Cl)cc3n12
31,32,lps+nigericin thp-1 il-1β,L26,IC50,0.87,uM,CC(C)c1nn(Cc2nnc(-c3cccnc3Cl)o2)c(=O)c2cc3sc(Cl)cc3n12
32,33,lps+nigericin thp-1 il-1β,L27,IC50,0.36,uM,CC(C)c1nn(Cc2nnc(-c3cnccc3C(F)(F)F)o2)c(=O)c2cc3sc(Cl)cc3n12
33,34,lps+nigericin thp-1 il-1β,L28,IC50,0.67,uM,CC(C)c1nn(Cc2nnc(-c3cncc(C(F)(F)F)c3)o2)c(=O)c2cc3sc(Cl)cc3n12
34,35,lps+nigericin thp-1 il-1β,L29,IC50,0.64,uM,CC(C)c1nn(Cc2nnc(-c3ccc(C(F)(F)F)nc3)o2)c(=O)c2cc3sc(Cl)cc3n12
35,36,lps+nigericin thp-1 il-1β,L30,IC50,0.44,uM,Cc1ccc(-c2nnc(Cn3nc(C(C)C)n4c(cc5sc(Cl)cc54)c3=O)o2)cn1
36,37,lps+nigericin thp-1 il-1β,L31,IC50,2.24,uM,CC(C)c1nn(Cc2nnc(-c3ccncn3)o2)c(=O)c2cc3sc(Cl)cc3n12
37,38,lps+nigericin thp-1 il-1β,L32,IC50,1.24,uM,CC(C)c1nn(Cc2nnc(-c3ccncn3)o2)c(=O)c2cc3sc(Cl)cc3n12
38,39,lps+nigericin thp-1 il-1β,L33,IC50,0.39,uM,CC(C)c1nn(Cc2nnc(-c3ccnc(Cl)n3)o2)c(=O)c2cc3sc(Cl)cc3n12
0,0,lps+nigericin thp-1 il-1β,Ex 63,IC50,12,nM,Cc1c(N[C@@H]2CCCC[C@H]2O)nnc(-c2ccc(C(F)(F)F)cc2O)c1C
1,1,lps+nigericin thp-1 il-1β,P33,IC50,2.7,nM,OCCN1CCC[C@@H](Nc2nnc(-c3ccc4occc4c3O)c3c2C2CCC3CC2)C1
2,2,lps+nigericin bmdms il-1β,P33,IC50,15.3,nM,OCCN1CCC[C@@H](Nc2nnc(-c3ccc4occc4c3O)c3c2C2CCC3CC2)C1
3,3,lps+nigericin pbmcs il-1β,P33,IC50,2.9,nM,OCCN1CCC[C@@H](Nc2nnc(-c3ccc4occc4c3O)c3c2C2CCC3CC2)C1
8,8,lps+nigericin thp-1 il-1β,Ex-63,IC50,0.012,uM,Cc1c(N[C@@H]2CCCC[C@H]2O)nnc(-c2ccc(C(F)(F)F)cc2O)c1C
10,10,lps+nigericin thp-1 il-1β,P5,IC50,0.038,uM,CN1CCC[C@@H](Nc2nnc(-c3ccc(C(F)(F)F)cc3O)c3c2C2CCC3C2)C1
11,11,lps+nigericin thp-1 il-1β,P6,IC50,0.027,uM,CCN1CCC[C@@H](Nc2nnc(-c3ccc(C(F)(F)F)cc3O)c3c2C2CCC3C2)C1
12,12,lps+nigericin thp-1 il-1β,P7,IC50,0.087,uM,Oc1cc(C(F)(F)F)ccc1-c1nnc(N[C@@H]2CCCN(CC3CC3)C2)c2c1C1CCC2C1
13,13,lps+nigericin thp-1 il-1β,P8,IC50,0.049,uM,Oc1cc(C(F)(F)F)ccc1-c1nnc(N[C@@H]2CCCN(C3CCC3)C2)c2c1C1CCC2C1
14,14,lps+nigericin thp-1 il-1β,P9,IC50,0.076,uM,Oc1cc(C(F)(F)F)ccc1-c1nnc(N[C@@H]2CCCN(C3CC(F)(F)C3)C2)c2c1C1CCC2C1
15,15,lps+nigericin thp-1 il-1β,P13,IC50,0.103,uM,Oc1cc(C(F)(F)F)ccc1-c1nnc(N[C@@H]2CCCNC2)c2c1C1CCC2CC1
16,16,lps+nigericin thp-1 il-1β,P14,IC50,0.038,uM,CN1CCC[C@@H](Nc2nnc(-c3ccc(C(F)(F)F)cc3O)c3c2C2CCC3CC2)C1
17,17,lps+nigericin thp-1 il-1β,P15,IC50,0.027,uM,Oc1cc(C(F)(F)F)ccc1-c1nnc(N[C@@H]2CCCN(C3CCC3)C2)c2c1C1CCC2CC1
18,18,lps+nigericin thp-1 il-1β,P17,IC50,0.049,uM,Oc1cc(C(F)(F)F)ccc1-c1nnc(N[C@@H]2CCCN(C3CCOC3)C2)c2c1C1CCC2CC1
19,19,lps+nigericin thp-1 il-1β,P18,IC50,0.025,uM,Oc1cc(C(F)(F)F)ccc1-c1nnc(N[C@@H]2CCCN(C3CC(F)(F)C3)C2)c2c1C1CCC2CC1
20,20,lps+nigericin thp-1 il-1β,P22,IC50,0.042,uM,OCCN1CCC[C@@H](Nc2nnc(-c3ccc(C(F)(F)F)cc3O)c3c2C2CCC3CC2)C1
