,Unnamed: 0,protein,ligand,type,value,unit,smiles
23,23,lps+atp j774a.1 il-1β,43,IC50,7.58,uM,CCCOc1ccc(Cl)cc1CN(CCc1ccc(S(=O)(=O)N2CCC2)cc1)C(=O)c1csc2ccccc12
24,24,lps+atp j774a.1 il-1β,44,IC50,0.19,uM,C#C/C=N/S(=O)(=O)c1ccc(CCN(Cc2cccc3c2OCO3)C(=O)Cc2ccc(F)cc2)cc1
25,25,lps+atp j774a.1 il-1β,45,IC50,0.93,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cccc3c2OCO3)C(=O)c2ccc(F)cc2)cc1
26,26,lps+atp j774a.1 il-1β,46,IC50,0.44,uM,C#CCS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)c2csc3ccccc23)cc1
27,27,lps+atp j774a.1 il-1β,1 (YQ128),IC50,0.3,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)Cc2ccsc2)cc1
28,28,lps+atp j774a.1 il-1β,MCC950,IC50,0.008,uM,CC(C)(C)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1
0,0,lps+nigericin thp-1 macrophages il-1β,J114,IC50,98,nM,O=C(Cc1ccc2cc[nH]c2c1)Nc1cccc(O)c1
1,1,lps+nigericin j774a.1 il-1β,J114,IC50,19.62,uM,O=C(Cc1ccc2cc[nH]c2c1)Nc1cccc(O)c1
2,2,lps+nigericin j774a.1 il-1β,J114,IC50,48.98,uM,O=C(Cc1ccc2cc[nH]c2c1)Nc1cccc(O)c1
3,3,lps+nigericin thp-1 macrophages pyroptosis,1,IC50,3.136,uM,COc1ccc(CC(=O)Nc2cccc(B(O)O)c2)cc1
4,4,lps+nigericin thp-1 macrophages pyroptosis,1,IC50,3.136 ± 0.7667,uM,COc1ccc(CC(=O)Nc2cccc(B(O)O)c2)cc1
5,5,lps+nigericin thp-1 macrophages pyroptosis,8,IC50,0.2392 ± 0.0233,uM,COc1ccc(CC(=O)Nc2cccc(O)c2)cc1
6,6,lps+nigericin thp-1 macrophages pyroptosis,2,IC50,> 100,uM,COc1ccc(CC(=O)Nc2ccccc2)cc1
7,7,lps+nigericin thp-1 macrophages pyroptosis,3,IC50,> 100,uM,COc1ccc(CC(=O)Nc2ccc3c(c2)B(O)OC3)cc1
8,8,lps+nigericin thp-1 macrophages pyroptosis,4,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc(C(=O)O)c2)cc1
9,9,lps+nigericin thp-1 macrophages pyroptosis,5,IC50,> 100,uM,COC(=O)c1cccc(NC(=O)Cc2ccc(OC)cc2)c1
10,10,lps+nigericin thp-1 macrophages pyroptosis,6,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc(N)c2)cc1
11,11,lps+nigericin thp-1 macrophages pyroptosis,7,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc(S(N)(=O)=O)c2)cc1
12,12,lps+nigericin thp-1 macrophages pyroptosis,9,IC50,> 100,uM,COc1ccc(CC(=O)Nc2ccccc2O)cc1
13,13,lps+nigericin thp-1 macrophages pyroptosis,10,IC50,> 100,uM,COc1ccc(CC(=O)Nc2ccc(O)cc2)cc1
14,14,lps+nigericin thp-1 macrophages pyroptosis,11,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc(OC)c2)cc1
15,15,lps+nigericin thp-1 macrophages pyroptosis,12,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc(CO)c2)cc1
16,16,lps+nigericin thp-1 macrophages pyroptosis,13,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc(C(C)(C)O)c2)cc1
17,17,lps+nigericin thp-1 macrophages pyroptosis,16,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc([N+](=O)[O-])c2)cc1
18,18,lps+nigericin thp-1 macrophages pyroptosis,17,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc(F)c2)cc1
19,19,lps+nigericin thp-1 macrophages pyroptosis,18,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc(Cl)c2)cc1
20,20,lps+nigericin thp-1 macrophages pyroptosis,19,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc(Br)c2)cc1
21,21,lps+nigericin thp-1 macrophages pyroptosis,20,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc(C(F)(F)F)c2)cc1
22,22,lps+nigericin thp-1 macrophages pyroptosis,21,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc(OC(F)(F)F)c2)cc1
23,23,lps+nigericin thp-1 macrophages pyroptosis,22,IC50,> 100,uM,COc1ccc(CC(=O)Nc2cccc(OC(F)F)c2)cc1
24,24,lps+nigericin thp-1 macrophages pyroptosis,23,IC50,> 100,uM,COc1ccc(CC(=O)Nc2ccc3ncoc3c2)cc1
25,25,lps+nigericin thp-1 macrophages pyroptosis,24,IC50,> 100,uM,COc1ccc(CC(=O)Nc2ccc3c(c2)COC3)cc1
26,26,lps+nigericin thp-1 macrophages pyroptosis,25,IC50,> 100,uM,COc1ccc(CC(=O)Nc2ccc3c(c2)C(=O)CC3)cc1
27,27,lps+nigericin thp-1 macrophages pyroptosis,26,IC50,> 100,uM,COc1ccc(CC(=O)Nc2ccc3c(c2)C(=O)OC3)cc1
28,28,lps+nigericin thp-1 macrophages pyroptosis,27,IC50,> 100,uM,COc1ccc(CC(=O)Nc2ccc3c(c2)COC3=O)cc1
